alpha,beta,gamma,max_abs_r_baseline,most_correlated_baseline,raw_corr_target,partial_corr_target,screen_verdict
1.0,-1.0,0.5,0.9993360541572159,M1,-0.35792131813883543,0.0,FAIL
1.0,-1.0,1.0,0.9990813046513529,SO,-0.35636623775021137,0.0,FAIL
1.0,-1.0,2.0,0.9937271535697794,SO_red,-0.3429831181918303,0.0,FAIL
1.0,-0.5,0.0,0.9982879949025459,M2,-0.3523381892835582,0.0,FAIL
1.0,-0.5,0.5,0.999058771809801,M1,-0.35262029359344105,0.0,FAIL
1.0,-0.5,1.0,0.9983286623095537,SO,-0.35041426717354723,0.0,FAIL
1.0,-0.5,2.0,0.9941467354591611,SO_red,-0.3362416746387489,0.0,FAIL
1.0,0.0,0.0,1.0,M2,-0.34564705206703344,0.0,FAIL
1.0,0.0,0.5,0.9985225312501183,M2,-0.3454400614425664,0.0,FAIL
1.0,0.0,1.0,0.9985626440199509,F,-0.3428582107801625,0.0,FAIL
1.0,0.0,2.0,0.9925866911263959,F,-0.3283624731288954,0.0,FAIL
1.0,0.5,0.0,0.9982910653307112,M2,-0.33685321367361515,0.0,FAIL
1.0,0.5,0.5,0.9971922945611634,redM1,-0.33640684300813456,0.0,FAIL
1.0,0.5,1.0,0.9988355152883318,F,-0.33369324277937407,0.0,FAIL
1.0,0.5,2.0,0.9908892372438192,F,-0.3193214847633022,0.0361769057947997,FAIL
1.0,1.0,0.0,0.9931115956102632,M2,-0.3259961135512668,-0.01943601417008692,FAIL
1.0,1.0,0.5,0.9958945082242778,redM1,-0.3255132227346891,0.0017991179944531663,FAIL
1.0,1.0,1.0,0.9964064428201855,redM1,-0.32287642275333456,0.019873187075327727,FAIL
1.0,1.0,2.0,0.9871145727311395,F,-0.3090484409609255,0.009086767440056312,FAIL
